Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
175100,7.729472,95.986623,95.384615,3.678927,15.671639,8.823531,18.503937,13.013697,0.0,21.026531,11.199998,0.0,4.240281,44.705879,84.083045,78.82349,3.932584,77.24359
175114,1.408451,100.0,97.029703,2.366862,1.204818,1.6949150000000002,17.808219,5.839418,0.0,19.87507,13.698631,0.0,0.0,43.0,92.682926,100.0,0.76923,90.163934
175115,10.178117,100.0,100.0,3.910616000000001,6.374502,6.265666,24.611973000000006,5.708663,0.0,19.900817,15.962442,0.157608,0.0,66.01941500000001,98.761609,82.33044100000002,2.4,94.932432
175118,11.363635,97.716895,96.629213,5.022833,8.333332,10.439562,24.324325,5.47945,0.0,22.836170000000006,14.054053,3.498702,5.092593,40.32258,77.55102099999998,64.849976,2.083332,84.186047
175122,10.175438,99.416344,96.91358,4.085602,1.464434,2.463052,24.657532,11.879051,0.0,15.960309,12.442398,1.181633,2.489628,57.943926,84.782609,70.724665,1.818182,75.103734
175123,11.666667,96.456692,91.909385,4.33071,2.857142,11.734693,31.249998,12.017167,0.0,31.174749,18.055557,1.842415,3.539823,53.097346,80.116958,68.020544,2.597404,81.19403
175124,8.602148,98.958333,99.014778,4.166666,7.82123,3.968255,18.35443,13.043478,0.0,32.751988,28.846156,2.68436,11.728395,42.857143,84.905661,72.513549,0.0,95.934959
175126,3.97351,98.74477,98.523985,3.76569,2.222223,6.78733,16.810346,24.336281,0.0,27.773607,12.217195,2.519417,3.47826,58.035716,64.044944,81.95438299999998,0.0,78.04878000000002
175127,5.555555,98.305083,99.280576,0.847457,0.0,5.555556,16.964285,20.192307,0.0,22.719311,11.607143,6.519821,0.0,49.152542,88.775509,82.19141,0.0,73.195876
175130,12.98701,94.392524,97.457627,1.86916,3.061225,7.692307,33.333335,22.916667,0.0,16.897143,20.652173,2.796875,3.33333,39.130435,86.046513,73.96028000000003,2.366864,84.046693
