Federal Provider Number,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Percentage of short-stay residents who had an outpatient emergency department visit,Percentage of short-stay residents who were rehospitalized after a nursing home admission
045304,2.2395150000000004,0.730688,14.200421,25.79717
045305,2.108277,0.783977,6.1765690000000015,24.376688
045306,1.833401,1.188593,10.100597,17.501894
045308,2.0377110000000003,1.598573,14.43366,25.187023
045312,2.863261,1.107892,6.001186,28.552907
045313,2.839666,0.7393460000000001,6.543433,14.590087
045314,2.583805,1.364501,12.688795,25.621393
045315,2.726816,0.990265,6.253831,28.641785
045317,1.827191,1.39807,17.928652,34.378642
045318,3.073022,1.246636,22.430555,19.735217
045322,0.957153,0.198953,6.899019,24.526141
045323,3.16652,2.573562,15.146584,36.241177
045326,1.455979,0.8816280000000001,16.929794,25.639634
045327,2.961261,1.076165,12.28573,27.227287
045334,1.966608,1.878677,19.423096,34.936523
045337,1.38705,0.62952,16.626735999999998,23.052369
045338,1.996101,0.651263,2.007314,28.044677000000004
045339,1.027734,0.475834,6.9199,10.314805
045340,1.384035,0.518005,10.788917,19.542538
045343,1.852171,0.369139,4.21432,24.120334
045345,2.843017,1.150784,16.753598999999998,28.686662
045346,0.7173510000000001,1.170413,4.729996,4.8810660000000015
045350,1.164407,1.241591,20.593352,15.784228
045351,0.994041,0.837808,28.617695,22.654921
045352,0.94822,0.375765,5.16897,19.14848
045353,0.531328,0.433228,0.0,29.113088
045354,2.1926810000000003,1.03255,9.11117,35.600495
045356,2.275594,1.685796,13.812418,27.465653000000003
045357,1.488564,1.122631,4.375961,27.350193
045358,0.4794,1.214094,9.444269,9.395923
045359,2.023162,0.559434,4.020418,27.597619
045361,1.864183,1.25469,13.61555,26.914588
045363,2.105639,2.199222,9.023739,28.893335
045364,2.157877,0.71414,10.21345,35.454853
045366,1.918188,1.6010799999999998,6.983103,16.874641
045369,1.556276,0.457328,9.166233,18.109239
045370,2.936392,2.065411,16.802057,26.492308
045372,1.244899,1.596252,14.452609,31.101341
045373,1.5566870000000002,0.450454,9.43923,21.634617
045374,2.026204,1.524519,15.850448000000002,42.501949
045376,1.990825,0.47452,5.912164,24.02759
045377,1.585793,1.110639,17.921423,15.734421
045378,2.219707,1.317364,12.563295,18.195077
045379,2.138521,1.868142,13.626438,30.891464000000006
045380,2.038225,1.190046,16.482734,27.573532
045381,0.921353,0.3009,11.535226,13.547685
045383,2.152475,2.214794,15.96141,19.783377
045384,3.784788,1.512788,19.701995,29.912397
045385,1.971742,1.001274,21.258324,13.640135
045387,1.492267,0.374904,10.628198,32.169722
045390,2.158542,1.136861,12.001027,29.027286
045391,3.234872,0.845289,7.140250999999999,37.024379
045392,2.380275,0.8332450000000001,16.261379,34.446288
045393,2.007582,0.888605,10.252707,33.035361
045396,2.130928,1.103373,11.641144,27.035122
045398,1.693187,0.681834,12.720043,26.241434
045401,1.5112,1.605127,4.570369,15.738819
045402,1.436027,0.8340709999999999,13.347625,22.535188
045403,2.4754970000000003,1.011829,12.347685,16.929153
045404,3.134709,1.151933,8.944815,28.253512
045407,1.6991759999999998,0.809684,18.213446,32.748243
045408,2.563723,1.390518,17.243423,23.350204
045409,0.937159,0.485712,7.543946000000001,32.148975
045411,1.581382,1.195636,12.322725,8.293851
045412,1.468241,1.194526,14.805151,25.900727
045413,1.679713,0.985423,15.229343,30.412575
045414,1.113534,2.36043,19.415824,15.748804000000002
045416,1.625378,0.874498,13.405339,21.463101
045418,2.38848,0.450165,3.629178,31.569939
045419,1.664243,0.647403,14.037621,27.255603000000004
045421,1.154684,0.433415,9.641362,25.791102
045422,1.20255,1.400105,10.531736,30.564815000000007
045424,2.647838,1.907704,16.136657999999994,21.260663
045427,1.02188,0.28007,7.585013000000001,24.321392000000003
045428,1.391529,0.977994,14.630791,24.959269
045431,2.978452,1.75137,13.700508,20.519814
045432,3.751436,0.922977,19.412882,29.875116
045433,3.064547,1.525304,27.975303000000004,27.112598
045434,1.926859,0.93953,10.384077,25.680783
045435,1.542966,1.212042,13.323282999999998,25.83061
045436,2.82302,0.608348,13.193944,27.117136
045437,2.73158,1.351662,22.457297,23.8552
045438,2.1896150000000003,2.99353,17.434051,26.205579
045439,2.2344630000000003,1.842327,6.758156,21.660024
045440,2.159485,1.022857,15.051955,36.774463
045441,3.102268,2.092182,23.366579,27.997053
045442,1.452638,0.300717,3.909653,23.929487
045443,2.202307,0.685199,4.222781,11.650438
045445,1.142165,0.460682,6.555530999999998,28.312951
045446,1.246972,0.514491,8.957619000000003,4.511343
045447,0.96082,0.624788,13.517882,7.976392999999999
045449,2.711345,1.481784,13.113423,36.452048
045450,3.143781,0.692675,18.078302,28.730253
045451,2.227091,0.834788,11.542031,26.414356
045452,2.804256,3.660341,16.407222,21.490821
045453,1.472271,0.6891390000000001,11.615802,34.456424
045454,3.917387,1.230753,5.984396,32.480015
045455,2.111061,0.652135,10.724906,12.350613
045457,2.415982,1.952635,11.756015,27.47716
045458,2.9900450000000003,0.866489,7.566722,30.297565
045460,1.821191,0.433223,12.753771,26.272736
045463,1.741216,0.521383,7.220786,31.64822
045464,2.386651,1.78351,13.934291,31.06789
045465,1.342548,0.118181,6.3658220000000005,9.220983
045466,1.400027,0.561684,9.673941,18.403426
045467,1.588164,0.606097,12.247239,28.105971000000004
045469,3.358035,2.502309,17.108211999999998,31.716147
045470,1.3644459999999998,1.911229,11.677354,17.628799
045471,0.667775,0.78877,10.111176,28.620114
055001,0.723303,0.402321,14.407313,20.14282
055003,0.609065,0.287716,10.03633,10.220239
055011,1.647302,0.73588,3.63052,31.719282
055013,0.940771,0.331205,0.0,5.188364
055014,1.163972,1.403568,9.502546,26.926082
055017,1.6681669999999995,0.35078200000000004,8.877375,28.893504
055022,1.051925,0.064715,2.678991,25.131163
055032,1.6643169999999998,0.364794,8.700178,23.387527
055039,1.582967,0.436666,7.5624660000000015,10.508732
055041,0.976654,0.490005,11.442142,23.12562
055042,1.112334,0.660334,8.323084,27.076571
055045,2.311729,0.763027,9.326146,27.980933
055047,1.249425,0.836066,15.33772,22.69418
055049,2.103567,0.371604,9.190841,20.317311
055052,1.935036,0.526816,2.029127,16.809365
055056,2.315381,0.286994,2.797793,35.623596
055060,1.835619,0.620803,12.228705,23.363533
055064,1.983631,0.997473,7.698706,32.077705
055067,3.532427,0.804615,9.495539,29.415736
055072,2.807973,0.372216,6.937739,30.2448
055074,0.952532,0.330542,13.491921,26.64641
055076,1.545465,0.535395,6.911036,27.057775
055077,1.566489,0.8598540000000001,9.87343,26.87606
055078,2.116728,0.293172,5.293846,16.791145999999998
055079,0.904408,0.453905,15.087238,17.796792
055084,1.470019,1.261781,15.303226,18.847266
055085,2.908277,0.850879,10.823548,18.73578
055092,1.366554,0.468048,17.998425,16.745063000000002
055093,1.109514,0.117498,8.018692,18.992762
055099,1.142977,0.605075,6.433262,11.456054
055104,1.687684,0.563678,7.865788,22.194681
055105,0.682636,0.6026279999999999,5.119075,36.523823
055109,0.622328,0.910666,10.435708,13.646075
055111,1.796384,0.43987,7.428777,28.216886
055114,1.946987,0.340304,9.264709,20.368559
055115,0.715266,0.083813,0.0,12.495763
055116,1.252765,0.583133,2.08106,20.779870000000006
055119,1.812763,0.356683,5.281393,21.515972
055121,2.525925,0.73401,8.783501,23.84133
055123,1.172955,0.185127,2.499111,26.307927000000007
055126,1.531025,0.528149,5.310646,19.610096
055129,1.051592,0.947092,12.944198,25.034217
055135,1.510861,0.392172,5.782566,33.957553000000004
055139,1.5525799999999998,0.538773,4.552974,17.850421
055141,1.539156,0.422175,8.278642999999999,17.055733
055142,1.756361,0.533205,3.93777,27.876291
055146,1.927159,0.08206000000000001,1.622842,34.869895
055147,0.996647,0.58,14.231047,19.575328
055150,2.302664,0.807724,10.357195,28.977591
055153,0.949226,0.244227,9.421664,33.451233
055155,2.828773,0.8215459999999999,4.128205,19.021575
055157,1.492944,0.098186,0.0,2.779178
055162,1.539462,0.579317,7.02244,30.003412
055163,1.585428,0.142553,4.688535,27.185203
055167,3.4478230000000005,0.204188,7.177060000000001,25.92219
055168,1.796798,1.061282,6.999797,24.529168
055169,2.261828,0.866976,9.041414,23.293283
055170,2.6994990000000003,0.29954000000000003,3.928121,29.271778
055173,0.617374,0.34575700000000004,10.979334,14.476191
055175,2.300986,0.380885,7.785423,17.453997
055181,1.186928,0.278034,9.841418,32.228566
055182,1.870736,0.696678,14.950302,16.123272
055183,1.899746,0.448453,6.366593,20.67913
055185,2.259871,0.90827,15.65722,29.851064
055187,1.521983,0.389558,5.372835,25.116707
055188,1.321346,0.54742,23.18735,15.767952
055189,1.724355,1.170478,10.039615,14.520765
055191,0.643225,0.952793,10.30326,21.619161
055192,3.158156,0.6417,3.640741,18.243434
055196,0.651816,0.120235,0.0,15.883042
055199,1.7520209999999998,0.6870609999999999,7.436332000000001,23.927177
055201,1.4546290000000002,1.0658299999999998,14.394101,23.587301
055203,1.228206,0.059108,0.0,22.704326
055204,1.866234,0.413412,9.82837,22.184014
055206,1.060563,0.251545,13.561149,26.832397
055208,0.7230300000000001,0.41482,22.374514,22.729557
055211,3.488607,1.789135,15.858251,22.845331
055212,1.88868,0.693872,13.078675,18.622916
055213,1.343473,0.404982,9.673136,21.971951
055215,1.978579,0.595301,15.224308,25.550523
055222,1.454403,0.073287,19.587703,15.779402
055237,1.526291,1.08586,7.030297999999998,25.522178
055239,1.2128290000000002,0.781238,23.947129,21.76333
055240,1.6846139999999998,0.905503,12.275678,24.146211
055241,1.490704,0.51334,6.109161,25.590252
055242,1.393981,0.813249,14.194129,19.628256
055247,2.520966,1.428508,13.371315,35.448414
055249,1.148074,0.8392649999999999,17.883235,17.853324
055252,1.006615,0.45144,9.327141,26.670935
055253,1.7808509999999995,0.195889,1.6668459999999998,19.023475
055255,1.426853,1.452369,4.536247,24.948728
055256,0.865592,0.329388,8.591695,20.859117
055262,2.643045,0.562557,3.094678,35.665705
055268,1.385671,0.95048,15.083444,19.043504
055276,2.452927,0.8115760000000001,9.728455,28.386346000000003
055280,1.948415,0.750616,8.867886,21.957655
055282,1.413791,0.083134,10.275589,16.540896
055287,1.053972,0.161364,5.757617,25.870795
055288,1.329467,0.082996,2.128148,25.500172
055289,1.475139,0.737516,14.477327,18.349304
055292,1.379919,0.684906,16.718784,13.401425
055293,2.051573,0.448825,7.254407,23.522532
055296,2.359322,1.291001,15.678468,27.057423
055297,2.6260630000000003,0.365729,3.129462,18.768352
055298,1.796938,0.339162,6.336106,19.800244
055299,1.735487,0.853893,20.405751,14.917192000000002
055304,2.478094,0.719058,12.35961,21.438831
055305,1.442345,0.951144,15.772251999999998,31.129183
055307,2.928633,1.451974,13.050296,29.996043
055308,1.904968,1.502828,10.089508,30.020395
055310,1.146869,0.389308,8.357207,21.510896
055311,1.265894,0.495807,4.204522,19.895571
055315,1.2873,1.056555,7.267899000000001,26.70375
055316,2.026489,0.301053,7.149642,18.700618
055318,0.852634,0.734703,7.657367,23.655858
055322,1.100476,0.888912,12.46828,18.131847
055328,1.541567,0.762817,7.334459,20.249185
055329,1.279127,0.040596,5.380714,3.20626
055330,2.295115,0.291643,6.424592,29.301601
055331,0.990311,0.61895,10.498044,21.730579
055335,0.617284,1.068199,19.386331,27.519578000000006
055341,0.5086609999999999,0.4110970000000001,8.819879,32.622037
055342,1.900688,0.287993,6.297751,25.419756
055344,1.128685,0.52696,15.011845999999998,15.500505
055350,1.4366370000000002,0.490052,9.128744,23.125407
055353,1.97519,0.378137,16.542133,33.090465
055354,1.442568,0.694172,15.904023,29.70488
055356,1.100878,0.275848,10.692049,28.301113
055360,1.261788,0.205771,2.822873,13.626154
055364,2.219005,0.329281,5.885304,33.054231
055367,0.893026,0.314614,5.956268,13.181307
055372,1.24605,0.423599,11.861324,27.572472
055374,1.469203,0.347983,5.200149,20.656795
055376,0.780088,0.304774,13.980282999999998,14.661465
055387,0.690332,0.262993,16.892985999999997,20.474988
055388,2.214519,0.7046439999999999,13.33365,21.711107
055394,1.509988,0.267559,2.958018,14.652970000000002
055402,1.454403,1.238612,21.202571,30.496834000000003
055407,1.734707,0.72632,7.858629,22.71206
055408,1.923857,0.459963,6.86295,34.794687
055409,2.09441,1.142352,11.507262,29.555684000000007
055410,1.279592,1.7194650000000002,19.375782,31.167084000000006
055412,2.047734,0.464458,11.271249,28.598824
055417,1.352772,1.479988,23.267398,28.197418
055430,2.7658810000000003,0.108753,5.214766,25.542186
055434,2.74979,0.948991,19.095855,37.416289
055435,1.847652,1.197819,11.063331,27.307281
055438,1.085331,0.282549,10.532486,10.665988
055441,2.321667,0.716817,7.06359,23.430172
055443,1.355953,0.551431,11.947387,24.198141
055446,1.30894,0.8957620000000001,16.095409,19.62
055448,0.8082739999999999,0.679034,17.204504,23.31879
055449,1.769591,0.571671,9.896955,15.977879
055457,1.468133,0.253797,4.274444,16.795231
055459,1.009916,0.5171600000000001,0.0,16.830897
