Federal Provider Number,Code B,Code C,Code D,Code E,Code F,Code G,Code H,Code I,Code J,Code K,Code L
025036,1.0,0.0,23.0,9.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0
025037,0.0,6.0,19.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
025038,0.0,0.0,15.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
025039,0.0,1.0,18.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
035003,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035004,0.0,0.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035014,0.0,0.0,20.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
035016,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035059,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035062,1.0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035064,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035068,0.0,0.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035070,1.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
035071,0.0,0.0,23.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
035072,3.0,0.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
035073,1.0,0.0,11.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035076,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035083,1.0,0.0,19.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
035084,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035085,1.0,0.0,22.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035086,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035088,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035091,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035092,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035093,0.0,0.0,17.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
035094,1.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035095,0.0,0.0,27.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
035096,0.0,0.0,14.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035097,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035099,1.0,0.0,24.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035100,1.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035101,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
035103,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035105,1.0,0.0,16.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
035106,2.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035107,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035110,0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035111,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
035112,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035114,1.0,0.0,21.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035116,1.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035117,0.0,0.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035118,0.0,0.0,8.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
035120,1.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035121,0.0,0.0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
035125,0.0,0.0,16.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035126,0.0,0.0,18.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
035127,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035130,2.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035131,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
035132,0.0,0.0,21.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
